dataset,fold,f1,f1v,f2,f3,f4,l1,l2,l3,n1,n2,n3,n4,t1,lsc,density,clsCoef,hubs,t2,t3,t4,c1,c2
german,0,0.778,0.35,0.442,0.988,0.966,0.064,0.22,0.208,0.164,0.42,0.31,0.268,0.806,0.992,0.99,0.74,0.936,0.048,0.006,0.125,0.119,0.276
german,1,0.784,0.39,0.799,0.974,0.966,0.063,0.206,0.206,0.177,0.421,0.348,0.274,0.806,0.993,0.99,0.765,0.916,0.048,0.006,0.125,0.119,0.276
german,2,0.745,0.343,0.76,0.982,0.972,0.083,0.206,0.178,0.164,0.425,0.336,0.254,0.832,0.993,0.989,0.75,0.921,0.048,0.006,0.125,0.119,0.276
german,3,0.814,0.384,0.429,0.982,0.97,0.058,0.234,0.2,0.179,0.421,0.352,0.228,0.83,0.993,0.991,0.744,0.941,0.048,0.006,0.125,0.119,0.276
german,4,0.788,0.399,0.0,0.968,0.954,0.063,0.22,0.208,0.176,0.421,0.356,0.238,0.804,0.993,0.991,0.779,0.928,0.048,0.006,0.125,0.119,0.276
german,5,0.774,0.307,0.584,0.99,0.978,0.056,0.19,0.166,0.182,0.425,0.358,0.268,0.826,0.993,0.991,0.758,0.935,0.048,0.006,0.125,0.119,0.276
german,6,0.765,0.377,0.664,0.992,0.98,0.066,0.222,0.19,0.188,0.428,0.36,0.26,0.846,0.993,0.992,0.783,0.932,0.048,0.006,0.125,0.119,0.276
german,7,0.796,0.318,0.246,0.972,0.954,0.058,0.186,0.142,0.154,0.42,0.32,0.244,0.792,0.992,0.993,0.801,0.94,0.048,0.006,0.125,0.119,0.276
german,8,0.814,0.363,0.356,0.984,0.964,0.062,0.216,0.174,0.155,0.415,0.296,0.256,0.822,0.993,0.992,0.777,0.929,0.048,0.006,0.125,0.119,0.276
german,9,0.746,0.355,0.541,0.99,0.976,0.072,0.204,0.178,0.169,0.426,0.374,0.26,0.81,0.993,0.99,0.757,0.932,0.048,0.006,0.125,0.119,0.276
haberman,0,0.79,0.582,0.467,0.974,0.967,0.67,0.235,0.203,0.19,0.376,0.399,0.216,0.549,0.978,0.909,0.439,0.689,0.02,0.02,1.0,0.161,0.354
haberman,1,0.882,0.711,0.425,0.961,0.948,0.781,0.268,0.261,0.15,0.361,0.301,0.281,0.542,0.972,0.898,0.459,0.719,0.02,0.02,1.0,0.171,0.371
haberman,2,0.824,0.628,0.695,0.954,0.941,0.715,0.242,0.248,0.154,0.354,0.307,0.196,0.523,0.971,0.916,0.502,0.75,0.02,0.02,1.0,0.161,0.354
haberman,3,0.861,0.661,0.708,0.928,0.922,0.741,0.248,0.242,0.167,0.38,0.307,0.222,0.582,0.974,0.895,0.403,0.708,0.02,0.02,1.0,0.171,0.371
haberman,4,0.776,0.548,0.701,0.967,0.961,0.68,0.216,0.229,0.157,0.357,0.32,0.222,0.542,0.971,0.891,0.437,0.697,0.02,0.02,1.0,0.161,0.354
